ID;PRODUCTNAME;CODE
1;Bambusová mísa kulatá;10013
2;Bambusová miska;5454
3;Bambusová miska;90089
4;Bambusová miska atyp RED;10015
5;Bambusová miska atyp Y;10015 OR
6;Bambusová miska bílá malá;10031
7;Bambusová miska bílá střední;10030
8;Bambusová miska bílá velká;10029
9;Bambusová miska dlouhá OR;10053
10;Bambusová miska oranž;10106
11;Bambusová miska přírodní set 2 kusy;5176+5175
12;Bambusová miska set 3 kusy;115528
13;Bambusová miska šestihran;5449
14;Bambusová miska šestihranná;5497
15;Bambusová miska zelená;10004
16;Bambusová podlaha;90
17;Bambusová rohož plotová - štípaná 130x500 cm;5628
18;Bambusová rohož plotová 130x480 cm;5259
19;Bambusová slánka a pepřenka;90090
20;Bambusová stolička;5056
21;Bambusová stolička set 2 ks;5055+5056
22;Bambusová stolička velká;5055
23;Bambusová tyč  průměr 8-10 cm, délka 2 metry;111064
24;Bambusová tyč  průměr 8-10 cm, délka 4 metry;63
25;Bambusová tyč 1,5 - 2 cm, délka 3 m;60
26;Bambusová tyč 3- 4 cm, délka 2 metry;61
27;Bambusová tyč 3- 4 cm, délka 2 metry, bambus black;51
28;Bambusová tyč 3-4 cm, délka 4 metry, bambus black ;52
29;Bambusová tyč 4- 5 cm, délka 2 metry;84
30;Bambusová tyč 4-4,5 cm, délka 2 metry, bambus black ;54
31;Bambusová tyč 5-6 cm, délka 1 metr;x67
32;Bambusová tyč 5-6 cm, délka 2 metry;80
33;Bambusová tyč 5-6 cm, délka 2 metry, bambus black ;56
34;Bambusová tyč 5-6 cm, délka 4 metry;67
35;Bambusová tyč 5-6 cm, délka 4 metry, bambus black ;57
36;Bambusová tyč průměr 3-4 cm, délka 1 metr;x61
37;Bambusová tyč průměr 3-4 cm, délka 4 m;82
38;Bambusová tyč průměr 8-10 cm a délka 2 metry;81
39;Bambusová tyč průměr 8-10 cm a délka 4 metry;83
40;Bambusová váza;10071
41;Bambusová váza;10070
42;Bambusová váza;10069
43;Bambusová váza;10074
44;Bambusová váza;10073
45;Bambusová váza;10072
46;Bambusová váza;10049
47;Bambusová váza;10093
48;Bambusová váza;10096
49;Bambusová váza;10095
50;Bambusová váza;10097
51;Bambusová váza;10098
52;Bambusová váza;10068
53;Bambusová váza;10067
54;Bambusová váza;10056
55;Bambusová váza klasik;10002
56;Bambusová váza oranž mozaika;10092
57;Bambusová váza oranž mozaika;10091
58;Bambusová váza s ratanem OR;10063
59;Bambusová váza válec;10008
60;Bambusová váza zakřivená;10003
61;Bambusové košťátko;5098
62;Bambusové košťátko 30 cm;5099
63;Bambusové lehátko;1035
64;Bambusové lehátko natural;1474
65;Bambusové misky set 3 kusy RED;10078-80
66;Bambusové prostírání natural 4 ks;5520
67;Bambusové prostírání set 4 kusy;10018 set
68;Bambusovo ratanový tácek zelený;5495G
69;Bambusovo ratanový tácek zelený 3+1 ZDARMA ;5495G 3+1
70;Bambusovo ratanový tácek žlutý;5495Y
71;Bambusovo ratanový tácek žlutý 3+1 ZDARMA;5495Y 3+1
72;Bambusový koš natural velikost L;5435
73;Bambusový koš velikost L;5359
74;Bambusový koš velikost M;5360
75;Bambusový koš velikost S;5361
76;Bambusový košík malý;5054
77;Bambusový košík na 1 láhev;5257
78;Bambusový košík na 2 láhve;5111
79;Bambusový košík set 3 ks;5198
80;Bambusový košík střední;5053
81;Bambusový košík tmavý L;5202
82;Bambusový košík tmavý XL;5201
83;Bambusový košík velký;5052
84;Bambusový obal na květináč set 2 ks;5231+32
85;Bambusový obal na květinu set 4 ks;5194
86;Bambusový paravan;1034
87;Bambusový plot 100x300 cm;5702
88;Bambusový plot 130x300 cm;5701
